"TotalPopulation","ConfirmedInflectionDayNum","ConfirmedK","ConfirmedPopFactor","EstimatedSusceptiblePopulation","Loss","Province","Country","ConfirmedInflectionDate"
35530000,96.87036,5.465961,2.150718e-05,764.1501,6.523674,"","Afghanistan","2020-04-05"
4903180,93.96835,4.52783,0.0006031694,2957.448,50.53663,"Alabama","US","2020-04-02"
731545,92.09823,4.394294,0.0003581792,262.0242,5.430888,"Alaska","US","2020-04-01"
2877000,92.04769,6.492218,0.0001878031,540.3096,5.952945,"","Albania","2020-04-01"
4413139,94.40299,5.880586,0.0004559681,2012.251,37.5006,"Alberta","Canada","2020-04-03"
41320000,93.73551,4.775869,5.274333e-05,2179.354,19.15043,"","Algeria","2020-04-02"
78000,87.59654,4.130332,0.007326837,571.4932,8.586094,"","Andorra","2020-03-27"
29780000,105.3442,6.472469,2.221784e-06,66.16472,0.5392906,"","Angola","2020-04-14"
14731,88.51568,1.556944,0.0002041019,3.006625,0.1760474,"Anguilla","United_Kingdom","2020-03-28"
59500509,37.49313,3.792202,1.695677e-05,1008.937,39.27447,"Anhui","China","2020-02-06"
102012,98.67499,6.11703,0.0003891836,39.70139,0.7650124,"","Antigua_and_Barbuda","2020-04-07"
44270000,91.94624,4.822362,4.815124e-05,2131.655,20.76733,"","Argentina","2020-03-31"
7278716,93.17783,3.763741,0.0004910716,3574.371,34.72809,"Arizona","US","2020-04-02"
3017804,91.85509,5.144794,0.0003996075,1205.937,25.28242,"Arkansas","US","2020-03-31"
2973000,91.08786,5.205843,0.0003708967,1102.676,12.9251,"","Armenia","2020-03-31"
4829,87.22775,2.510201,0.01405765,67.88438,1.648322,"Aruba","Netherlands","2020-03-27"
426709,85.18263,2.392213,0.0002149715,91.73028,1.88388,"Australian_Capital_Territory","Australia","2020-03-25"
8822000,86.05137,4.090193,0.001496761,13204.43,77.72028,"","Austria","2020-03-26"
9898000,99.39972,5.429036,0.0001609109,1592.696,4.851413,"","Azerbaijan","2020-04-08"
395361,91.61341,4.166271,9.959275e-05,39.37509,0.7060953,"","Bahamas","2020-03-31"
1493000,89.82395,9.706378,0.000737228,1100.681,17.33969,"","Bahrain","2020-03-29"
164700000,215.572,8.402383,1,164700000,6.994818,"","Bangladesh","2020-08-02"
285719,90.6676,4.758244,0.0002628731,75.10785,1.62196,"","Barbados","2020-03-30"
21709986,39.81572,10.90736,2.421901e-05,525.7943,48.40356,"Beijing","China","2020-02-08"
9508000,141.9758,4.718723,1,9508000,18.94305,"","Belarus","2020-05-20"
11400000,92.43134,4.881095,0.002492749,28417.34,167.8781,"","Belgium","2020-04-01"
374681,102.699,6.057675,6.06964e-05,22.74179,0.2752231,"","Belize","2020-04-11"
11180000,186.5055,6.892676,1,11180000,0.7567622,"","Benin","2020-07-04"
65441,87.83214,2.636498,0.0005998063,39.25192,0.7451806,"Bermuda","United_Kingdom","2020-03-27"
807610,93.32741,8.88402,1.080987e-05,8.730161,0.261198,"","Bhutan","2020-04-02"
11050000,92.09802,4.541931,2.087393e-05,230.6569,3.402796,"","Bolivia","2020-04-01"
3507000,92.27101,4.740183,0.0002688481,942.8502,8.006398,"","Bosnia_and_Herzegovina","2020-04-01"
2350000,91.67264,1.981973,2.767671e-06,6.504027,0.3487837,"","Botswana","2020-03-31"
209300000,98.81152,5.592987,0.0001461938,30598.36,149.8572,"","Brazil","2020-04-07"
5110916,87.3708,5.05302,0.0002857782,1460.588,27.41489,"British_Columbia","Canada","2020-03-27"
30181,87.636,0.7399228,9.593153e-05,2.89531,0.1347696,"British_Virgin_Islands","United_Kingdom","2020-03-27"
428697,78.54947,4.138577,0.0003184469,136.5172,4.12728,"","Brunei","2020-03-18"
7050000,87.76342,5.3912,9.141475e-05,644.474,8.853694,"","Bulgaria","2020-03-27"
19190000,87.8616,4.162669,2.051043e-05,393.5951,6.11993,"","Burkina_Faso","2020-03-27"
54319034,89.85645,2.042235,3.859529e-07,20.96459,0.9812584,"","Burma","2020-03-29"
11890784,92.23085,1.878679,3.219668e-07,3.828438,0.209055,"","Burundi","2020-04-01"
546388,84.07351,2.757446,1.225144e-05,6.694042,0.2837885,"","Cabo_Verde","2020-03-24"
39512221,93.85239,4.615293,0.0006131776,24228.01,157.3116,"California","US","2020-04-02"
16010000,80.3257,2.399357,6.855488e-06,109.7564,3.18629,"","Cambodia","2020-03-20"
24050000,95.83894,3.577668,4.793631e-05,1152.868,20.715,"","Cameroon","2020-04-04"
68076,97.38931,4.587974,0.001192039,81.14921,1.060908,"Cayman_Islands","United_Kingdom","2020-04-06"
4659000,141.6489,9.808823,0.0001688572,786.7055,0.6401489,"","Central_African_Republic","2020-05-20"
14900000,91.46763,4.853367,8.215167e-07,12.2406,0.3894989,"","Chad","2020-03-31"
170499,95.28318,4.516482,0.003069703,523.3813,4.2299,"Channel_Islands","United_Kingdom","2020-04-04"
18050000,91.88491,4.467132,0.0003487253,6294.492,35.76384,"","Chile","2020-03-31"
30749994,34.46821,4.318313,1.88607e-05,579.9663,12.8205,"Chongqing","China","2020-02-03"
49070000,92.53646,4.968434,4.756517e-05,2334.023,18.85908,"","Colombia","2020-04-01"
5758721,94.06278,4.76861,0.001361454,7840.232,113.157,"Colorado","US","2020-04-03"
2308000,100.5583,5.004007,5.875558e-05,135.6079,2.150693,"","Congo_(Brazzaville)","2020-04-09"
11855000,92.06065,4.653861,1.89814e-05,225.0245,3.454356,"","Congo_(Kinshasa)","2020-04-01"
3565285,95.21642,3.934988,0.00306417,10924.64,146.0295,"Connecticut","US","2020-04-04"
4906000,86.28022,4.115678,9.758501e-05,478.7521,6.397565,"","Costa_Rica","2020-03-26"
24290000,91.50032,4.346477,1.625076e-05,394.731,10.07439,"","Cote_d'Ivoire","2020-03-31"
4076000,87.57739,3.999455,0.0003252211,1325.601,12.36475,"","Croatia","2020-03-27"
11480000,92.89596,4.037456,4.215546e-05,483.9446,4.215548,"","Cuba","2020-04-01"
25386,86.29412,4.514699,0.0005307983,13.47485,0.4332768,"Curacao","Netherlands","2020-03-26"
1170000,95.29065,6.044582,0.000698322,817.0368,7.240969,"","Cyprus","2020-04-04"
10650000,88.64354,4.755307,0.0005279933,5623.128,46.7708,"","Czechia","2020-03-28"
973764,113.244,5.958555,0.01269154,12358.57,15.13351,"Delaware","US","2020-04-22"
5603000,101.9788,9.245104,0.002258956,12656.93,114.1863,"","Denmark","2020-04-10"
3711,46.17249,2.60968,0.1906307,707.4305,17.90019,"","Diamond_Princess","2020-02-15"
705744,98.65519,5.345083,0.003834187,2705.955,22.76589,"District_of_Columbia","US","2020-04-07"
956985,101.9212,4.557804,0.0003308038,316.5743,2.008236,"","Djibouti","2020-04-10"
73925,85.05198,0.9116202,0.0001726185,12.76082,0.5976143,"","Dominica","2020-03-25"
10770000,91.00152,3.816134,0.000203818,2195.12,24.06059,"","Dominican_Republic","2020-03-31"
16620000,91.56958,5.179577,0.0003198839,5316.47,94.04442,"","Ecuador","2020-03-31"
97550000,105.7382,8.712127,5.065553e-05,4941.447,22.67963,"","Egypt","2020-04-14"
6378000,96.30908,4.256844,1.973933e-05,125.8974,1.167652,"","El_Salvador","2020-04-05"
1268000,82.84581,3.640299,1.236357e-05,15.67701,0.6285724,"","Equatorial_Guinea","2020-03-22"
4475000,96.85674,4.65686,1.426292e-05,63.82655,1.014048,"","Eritrea","2020-04-05"
1328000,90.51513,6.686058,0.001175713,1561.347,25.72422,"","Estonia","2020-03-30"
1367000,84.47063,2.735525,7.043256e-06,9.628131,0.4411379,"","Eswatini","2020-03-24"
1.05e+08,105.8637,7.805615,1.849128e-06,194.1584,1.037448,"","Ethiopia","2020-04-14"
50498,81.05953,3.194139,0.003534925,178.5066,4.383828,"Faroe_Islands","Denmark","2020-03-21"
905502,181.6568,7.640558,1,905502,0.6631812,"","Fiji","2020-06-29"
5513000,91.18668,6.496322,0.0005251347,2895.068,44.55688,"","Finland","2020-03-31"
21477722,93.12766,3.619925,0.0008336425,17904.74,178.4397,"Florida","US","2020-04-02"
64266012,102.1415,6.909783,0.004733623,304211.1,1744.968,"","France","2020-04-11"
269352,96.48053,7.556245,0.0004767226,128.4062,1.701503,"French_Guiana","France","2020-04-05"
275918,83.6986,3.600196,0.0001541399,42.52999,1.286416,"French_Polynesia","France","2020-03-23"
39109999,33.37742,4.299804,7.921659e-06,309.8161,17.88421,"Fujian","China","2020-02-02"
2025000,98.53441,6.097483,3.067288e-05,62.11259,1.113941,"","Gabon","2020-04-07"
2101000,83.07997,3.1812,1.918417e-06,4.030593,0.1845159,"","Gambia","2020-03-23"
26260000,42.87456,13.19021,5.28192e-06,138.7032,11.73813,"Gansu","China","2020-02-11"
3717000,101.0748,9.223772,0.0001253283,465.8455,3.525504,"","Georgia","2020-04-10"
10617406,93.53377,4.262009,0.00107958,11462.34,192.8736,"Georgia","US","2020-04-02"
82790000,89.50062,5.434754,0.001614407,133656.8,966.327,"","Germany","2020-03-29"
28830000,88.03215,3.547555,8.859437e-06,255.4176,10.13335,"","Ghana","2020-03-28"
30000,88.54848,3.591245,0.003971042,119.1313,2.259724,"Gibraltar","United_Kingdom","2020-03-28"
10740000,89.71166,6.980872,0.0002298879,2468.996,25.64308,"","Greece","2020-03-29"
56171,83.70288,2.528664,0.0001934423,10.86585,0.3547109,"Greenland","Denmark","2020-03-23"
107825,87.10763,1.983131,0.0001073702,11.57719,0.5394428,"","Grenada","2020-03-27"
394110,85.01715,4.280998,0.0003680943,145.0696,4.092398,"Guadeloupe","France","2020-03-25"
159355,92.36163,5.545424,0.0009750793,155.3838,4.584149,"Guam","US","2020-04-01"
111689974,33.81845,3.849582,1.242331e-05,1387.559,55.28094,"Guangdong","China","2020-02-02"
48849998,34.06408,4.201526,5.165916e-06,252.355,3.828641,"Guangxi","China","2020-02-03"
16910000,101,7.619742,1.109191e-05,187.5642,2.126844,"","Guatemala","2020-04-10"
1861000,109.5319,4.433998,0.000254361,473.3658,1.050984,"","Guinea-Bissau","2020-04-18"
12720000,93.8802,1.886457,1.237959e-05,157.4684,2.568475,"","Guinea","2020-04-02"
35806467,37.49982,4.429381,4.133064e-06,147.9904,5.14253,"Guizhou","China","2020-02-06"
777859,194.14,9.500052,1,777859,2.698833,"","Guyana","2020-07-12"
9169996,36.18771,4.39988,1.869618e-05,171.4439,6.071799,"Hainan","China","2020-02-05"
10980000,90.10559,4.218348,2.503301e-06,27.48625,0.8317392,"","Haiti","2020-03-30"
1415870,93.08722,4.458865,0.0003869189,547.8268,10.04935,"Hawaii","US","2020-04-02"
59019999,37.34093,4.398207,5.399424e-06,318.674,6.029049,"Hebei","China","2020-02-06"
37890000,37.66497,3.760256,1.28273e-05,486.0265,10.37456,"Heilongjiang","China","2020-02-06"
95589995,34.84316,3.608223,1.334953e-05,1276.082,15.19129,"Henan","China","2020-02-03"
1000,84.76386,3.403047,0.007271326,7.271326,0.4448633,"","Holy_See","2020-03-24"
9265000,91.41073,3.181779,3.520058e-05,326.1334,5.093182,"","Honduras","2020-03-31"
7335384,100.8888,10.86191,0.0003176777,2330.288,35.6493,"Hong_Kong","China","2020-04-09"
59019556,41.26942,4.28466,0.001151124,67938.83,1805.341,"Hubei","China","2020-02-10"
68599996,37.29881,4.235028,1.531022e-05,1050.281,72.33995,"Hunan","China","2020-02-06"
9773000,91.29035,4.854165,0.0001005589,982.7624,5.3597,"","Hungary","2020-03-31"
364260,86.65722,5.519373,0.004840008,1763.021,15.72486,"","Iceland","2020-03-26"
1787065,92.00257,2.577265,0.0007167103,1280.808,25.60555,"Idaho","US","2020-04-01"
12671820,93.03989,3.957402,0.00127789,16193.19,154.9558,"Illinois","US","2020-04-02"
1.339e+09,157.3547,5.828071,0.09951288,133247700,65.79673,"","India","2020-06-05"
6732213,95.6125,4.175965,0.001330574,8957.706,75.14184,"Indiana","US","2020-04-04"
2.64e+08,92.81519,5.822409,1.411116e-05,3725.347,31.76534,"","Indonesia","2020-04-01"
25290000,36.61649,6.15776,3.296292e-06,83.36322,12.00066,"Inner_Mongolia","China","2020-02-05"
3155062,93.18693,3.990423,0.0004079794,1287.2,13.5889,"Iowa","US","2020-04-02"
81160000,94.54978,9.471798,0.001362767,110602.2,1034.839,"","Iran","2020-04-03"
38270000,96.76746,7.742029,5.430385e-05,2078.208,10.73082,"","Iraq","2020-04-05"
4830000,92.33178,5.107179,0.001506256,7275.215,60.79357,"","Ireland","2020-04-01"
84287,93.38361,3.388037,0.002186985,184.3344,2.747882,"Isle_of_Man","United_Kingdom","2020-04-02"
8712000,90.92279,3.992815,0.001249288,10883.8,85.97531,"","Israel","2020-03-30"
60480000,85.34582,6.052881,0.002457246,148614.2,1107.582,"","Italy","2020-03-25"
2890000,96.42078,8.019827,3.873974e-05,111.9578,1.591284,"","Jamaica","2020-04-05"
126799998,237.956,13.40641,1,126800000,84.20219,"","Japan","2020-08-24"
80289999,36.098,3.956344,7.948098e-06,638.1528,12.04131,"Jiangsu","China","2020-02-05"
46219998,34.5858,3.370328,2.023673e-05,935.3418,10.01913,"Jiangxi","China","2020-02-03"
27170000,36.37666,4.530553,3.514827e-06,95.49785,4.021653,"Jilin","China","2020-02-05"
9702000,85.20972,3.798402,3.588547e-05,348.1608,6.841706,"","Jordan","2020-03-25"
2913313,94.48931,4.325746,0.000433099,1261.753,10.07651,"Kansas","US","2020-04-03"
18040000,95.26962,4.744642,5.981107e-05,1078.992,10.63253,"","Kazakhstan","2020-04-04"
4467667,90.99251,3.684886,0.0002687905,1200.867,28.53856,"Kentucky","US","2020-03-30"
49700000,96.05235,4.281799,5.821283e-06,289.3178,3.082648,"","Kenya","2020-04-05"
51469999,63.00746,4.130436,0.0001814041,9336.867,392.6193,"","Korea,_South","2020-03-03"
1831000,88.10301,2.13967,8.072344e-05,147.8046,7.748827,"","Kosovo","2020-03-28"
4137000,197.3018,11.30208,1,4137000,25.84934,"","Kuwait","2020-07-15"
6202000,99.97301,5.782405,8.569048e-05,531.4523,6.54063,"","Kyrgyzstan","2020-04-08"
6858000,90.64939,4.85797,2.287251e-06,15.68596,0.7544674,"","Laos","2020-03-30"
1920000,88.1531,4.779632,0.0003259501,625.8242,4.939986,"","Latvia","2020-03-28"
6082000,83.88699,5.31901,9.732228e-05,591.9141,7.448885,"","Lebanon","2020-03-23"
43689998,35.08296,6.531187,3.050199e-06,133.2632,8.979862,"Liaoning","China","2020-02-04"
4732000,184.5007,6.862628,1,4732000,0.6469651,"","Liberia","2020-07-02"
6375000,95.3727,3.760399,4.660231e-06,29.70897,0.7729377,"","Libya","2020-04-04"
38557,82.09346,3.600553,0.001947658,75.09587,3.019199,"","Liechtenstein","2020-03-22"
